Feature,Coefficient
worst texture,-1.25508804169013
radius error,-1.0829653362483984
worst concave points,-0.9536863642145671
worst area,-0.9477559027621596
worst radius,-0.9476161496027726
worst symmetry,-0.9391814052053189
area error,-0.9291040183411332
worst concavity,-0.8231506462671389
worst perimeter,-0.7632200724438887
worst smoothness,-0.746624809214941
mean concave points,-0.7041564891955352
mean compactness,0.6483415872660624
compactness error,0.6472265576308692
mean concavity,-0.60210290697328
mean texture,-0.5526977534575258
perimeter error,-0.5443332277221032
mean area,-0.5410592418248746
mean radius,-0.511479010884971
mean perimeter,-0.47629788561011654
concave points error,-0.44378423599806094
fractal dimension error,0.43789426057957204
symmetry error,0.36049155541961053
texture error,0.24882301055625083
mean smoothness,-0.2124792749064493
mean fractal dimension,0.1997317329870911
worst fractal dimension,-0.1872507973376591
mean symmetry,-0.16723272960824476
concavity error,0.1605625237774122
smoothness error,-0.16027571018544234
worst compactness,0.055514124763133076
